City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Senanga,ZM,2022-01-25 20:11:09,-16.1167,23.2667,70.59,69,100,4.36
165,San Cristobal,VE,2022-01-25 20:11:09,7.7669,-72.225,80.78,38,100,1.07
166,Nikolskoye,RU,2022-01-25 20:02:20,59.7035,30.7861,22.89,98,66,4.52
167,Port Hardy,CA,2022-01-25 20:06:07,50.6996,-127.4199,43.57,73,100,3.74
168,Hilo,US,2022-01-25 20:11:10,19.7297,-155.09,78.53,62,40,6.91
169,Ust-Nera,RU,2022-01-25 20:11:10,64.5667,143.2,-21.98,99,100,2.39
170,Dargaville,NZ,2022-01-25 20:11:11,-35.9333,173.8833,70.41,80,98,5.39
171,Pisco,PE,2022-01-25 20:05:54,-13.7,-76.2167,77.05,61,0,23.02
172,Vila Velha,BR,2022-01-25 20:11:11,-20.3297,-40.2925,82.35,74,20,5.75
173,Coihaique,CL,2022-01-25 20:01:44,-45.5752,-72.0662,72.28,35,3,7.56
174,San Juan Del Rio,MX,2022-01-25 20:08:49,20.3833,-100.0,71.53,23,0,12.75
175,Soyo,AO,2022-01-25 20:11:12,-6.1349,12.3689,77.95,80,89,7.4
176,Miri,MY,2022-01-25 20:11:12,4.4148,114.0089,76.42,88,100,4.83
177,Essau,GM,2022-01-25 20:11:12,13.4839,-16.5347,75.36,28,100,7.18
178,Lagoa,PT,2022-01-25 20:03:37,39.05,-27.9833,58.75,79,99,7.9
179,Nemuro,JP,2022-01-25 20:11:13,43.3236,145.575,22.12,77,85,5.5
180,Batagay-Alyta,RU,2022-01-25 20:12:13,67.8006,130.4114,-10.5,91,100,1.86
181,Lorengau,PG,2022-01-25 20:04:51,-2.0226,147.2712,81.3,81,99,6.33
182,Lazaro Cardenas,MX,2022-01-25 20:12:14,17.9583,-102.2,83.25,54,2,10.09
183,Kitami,JP,2022-01-25 20:12:14,43.8031,143.8908,15.12,97,96,3.51
184,Upernavik,GL,2022-01-25 20:07:09,72.7868,-56.1549,4.48,93,100,3.06
185,Phalaborwa,ZA,2022-01-25 20:12:14,-23.943,31.1411,75.97,73,100,11.97
186,Bojnurd,IR,2022-01-25 20:12:15,37.4747,57.329,32.56,37,5,5.61
187,Kodiak,US,2022-01-25 20:12:15,57.79,-152.4072,29.71,51,0,12.66
188,Belle Fourche,US,2022-01-25 20:12:15,44.6714,-103.8522,29.5,64,100,8.03
189,Tasiilaq,GL,2022-01-25 20:04:48,65.6145,-37.6368,17.76,87,30,7.67
190,Leningradskiy,RU,2022-01-25 20:12:16,69.3833,178.4167,-25.56,87,45,5.66
191,Kruisfontein,ZA,2022-01-25 20:04:40,-34.0033,24.7314,68.88,90,100,9.89
192,Cap-Aux-Meules,CA,2022-01-25 20:12:16,47.3821,-61.8597,26.65,80,100,18.41
193,Rocha,UY,2022-01-25 20:12:17,-34.4833,-54.3333,85.86,62,99,2.82
194,Shanhetun,CN,2022-01-25 20:12:17,44.7,127.2,0.46,98,100,3.27
195,Popondetta,PG,2022-01-25 20:07:33,-8.7537,148.2534,73.63,96,96,3.02
196,Pergamino,AR,2022-01-25 20:12:18,-33.89,-60.5736,84.18,65,100,10.47
197,Qazvin,IR,2022-01-25 20:08:18,36.2797,50.0049,35.28,38,38,6.15
198,Coquimbo,CL,2022-01-25 20:00:05,-29.9533,-71.3436,68.61,71,3,9.15
199,Burgos,ES,2022-01-25 20:12:18,42.3394,-3.7079,34.21,86,0,3.44
200,Severo-Kurilsk,RU,2022-01-25 20:04:42,50.6789,156.125,20.05,63,36,6.6
201,Nelson Bay,AU,2022-01-25 20:12:19,-32.7167,152.15,67.95,94,9,4.0
202,Qaqortoq,GL,2022-01-25 20:06:02,60.7167,-46.0333,25.3,72,100,11.5
203,Gondar,ET,2022-01-25 20:12:19,12.6,37.4667,61.29,31,0,3.96
204,Oussouye,SN,2022-01-25 20:12:19,12.485,-16.5469,83.52,22,100,6.42
205,Aksarka,RU,2022-01-25 20:12:20,66.5606,67.7975,10.22,94,100,14.47
206,Shahr-E Babak,IR,2022-01-25 20:12:20,30.1165,55.1186,43.52,40,0,4.23
207,Katsuura,JP,2022-01-25 20:12:20,35.1333,140.3,42.19,94,98,16.24
208,Matara,LK,2022-01-25 20:12:21,5.9485,80.5353,72.01,84,100,6.29
209,Ochakiv,UA,2022-01-25 20:12:21,46.6128,31.5498,12.34,81,59,6.89
210,Tazovskiy,RU,2022-01-25 20:12:21,67.4667,78.7,-0.33,95,96,16.11
211,San Patricio,US,2022-01-25 20:12:22,28.017,-97.5169,62.49,43,0,10.67
212,Nurota,UZ,2022-01-25 20:12:22,40.5614,65.6886,24.89,57,0,3.94
213,Bosaso,SO,2022-01-25 20:12:22,11.2842,49.1816,72.14,68,5,3.8
214,Chokurdakh,RU,2022-01-25 20:03:26,70.6333,147.9167,-32.46,100,100,7.02
215,Salalah,OM,2022-01-25 20:11:12,17.0151,54.0924,68.09,42,0,5.75
216,Vardo,NO,2022-01-25 20:03:31,70.3705,31.1107,28.6,86,20,25.32
217,Cidreira,BR,2022-01-25 20:03:27,-30.1811,-50.2056,80.71,75,71,17.49
218,Guerrero Negro,MX,2022-01-25 20:07:15,27.9769,-114.0611,66.99,43,54,9.55
