City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
124,Mwense,ZM,-10.3845,28.698,62.13,99,99,3.02,overcast clouds,2022-02-05 00:09:02
125,Nhulunbuy,AU,-12.2333,136.7667,84.81,74,98,10.36,overcast clouds,2022-02-05 00:09:02
126,Broome,US,42.2506,-75.833,18.37,76,100,3.0,mist,2022-02-05 00:09:03
127,Cabo San Lucas,MX,22.8909,-109.9124,70.14,61,6,6.02,clear sky,2022-02-04 23:55:37
128,Tezu,IN,27.9167,96.1667,54.97,92,100,1.05,overcast clouds,2022-02-05 00:09:03
129,Cherskiy,RU,68.75,161.3,-33.47,98,16,4.32,few clouds,2022-02-05 00:05:25
130,Saldanha,ZA,-33.0117,17.9442,62.15,72,0,14.14,clear sky,2022-02-05 00:09:04
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.6,85,39,22.35,scattered clouds,2022-02-05 00:09:04
132,Guerrero Negro,MX,27.9769,-114.0611,65.35,22,0,9.13,clear sky,2022-02-05 00:04:06
133,Hilo,US,19.7297,-155.09,78.62,79,100,8.05,overcast clouds,2022-02-05 00:05:42
134,Smithers,CA,54.7804,-127.1743,38.32,99,85,2.62,overcast clouds,2022-02-05 00:09:05
135,Susanville,US,40.4163,-120.653,47.66,44,0,1.99,clear sky,2022-02-05 00:10:05
136,Bemidji,US,47.4736,-94.8803,-0.63,76,0,6.91,clear sky,2022-02-05 00:10:06
137,Lompoc,US,34.6391,-120.4579,67.08,34,0,10.36,clear sky,2022-02-05 00:05:27
138,Thompson,CA,55.7435,-97.8558,-22.25,98,8,3.4,clear sky,2022-02-05 00:05:47
139,Chuy,UY,-33.6971,-53.4616,70.05,93,5,7.0,clear sky,2022-02-05 00:05:39
140,Isangel,VU,-19.55,169.2667,76.78,93,100,1.41,light rain,2022-02-05 00:01:10
141,Niksar,TR,40.5917,36.9517,23.79,94,91,2.44,overcast clouds,2022-02-05 00:10:06
142,Young,UY,-32.6833,-57.6333,76.23,65,90,7.83,overcast clouds,2022-02-05 00:10:07
143,Acapulco,MX,16.8634,-99.8901,82.22,65,20,3.44,few clouds,2022-02-05 00:06:08
144,Manaure,CO,11.7751,-72.4445,79.09,73,12,21.65,few clouds,2022-02-05 00:10:07
145,Pochutla,MX,15.7432,-96.4661,84.81,60,3,6.55,clear sky,2022-02-05 00:05:28
146,Kirakira,SB,-10.4544,161.9205,83.7,78,98,7.07,overcast clouds,2022-02-05 00:10:08
147,Mambajao,PH,9.2504,124.7156,79.02,81,86,15.08,overcast clouds,2022-02-05 00:10:08
148,Teya,RU,60.3778,92.6267,17.26,90,100,8.84,overcast clouds,2022-02-05 00:10:08
149,Dwarka,IN,22.2394,68.9678,68.77,57,3,9.04,clear sky,2022-02-05 00:06:42
150,La Ronge,CA,55.1001,-105.2842,-10.98,77,100,8.05,overcast clouds,2022-02-05 00:10:09
151,Kaitangata,NZ,-46.2817,169.8464,58.39,48,91,5.46,overcast clouds,2022-02-05 00:10:09
152,Xai-Xai,MZ,-25.0519,33.6442,77.18,75,99,12.24,light rain,2022-02-05 00:08:00
153,Upernavik,GL,72.7868,-56.1549,-0.45,99,95,5.28,overcast clouds,2022-02-05 00:05:40
154,Hamilton,US,39.1834,-84.5333,23.72,85,100,1.01,overcast clouds,2022-02-05 00:06:52
155,Bezhanitsy,RU,56.9767,29.8907,12.69,89,42,10.13,scattered clouds,2022-02-05 00:10:10
156,Krasnyy Oktyabr,RU,56.1167,38.8833,1.4,100,82,4.25,broken clouds,2022-02-05 00:10:10
157,Khadyzhensk,RU,44.4256,39.5319,25.79,93,97,4.88,overcast clouds,2022-02-05 00:10:11
158,East London,ZA,-33.0153,27.9116,68.9,85,99,7.74,light rain,2022-02-05 00:09:24
159,Srednekolymsk,RU,67.45,153.6833,-35.25,100,100,2.53,overcast clouds,2022-02-05 00:10:11
160,Arraial Do Cabo,BR,-22.9661,-42.0278,76.66,87,95,21.39,overcast clouds,2022-02-05 00:02:50
161,Paamiut,GL,61.994,-49.6678,7.68,84,100,8.34,light snow,2022-02-05 00:10:11
